t_us,ch1,ch2,ch3,ch4,label
0,3882,1901,1101,1992,center
4000,3900,1872,1134,1992,center
8000,3888,1987,1115,1859,center
12000,3909,1974,1078,1810,center
16000,3892,1910,1092,1964,center
20000,3896,1890,1146,2016,center
24000,3867,1962,1118,1915,center
28000,3896,1982,1062,1825,center
32000,3902,1910,1122,1956,center
36000,3817,1908,1154,2004,center
40000,3883,1967,1133,1902,center
44000,3922,1976,1037,1850,center
48000,3804,1942,1128,1922,center
52000,3860,1928,1155,2005,center
56000,3900,1968,1144,1945,center
60000,3835,1979,1097,1842,center
64000,3882,1954,1118,1878,center
68000,3888,1914,1135,1972,center
72000,3910,1930,1126,1968,center
76000,3880,1990,1100,1838,center
80000,3901,1984,1111,1842,center
84000,3900,1858,1138,1978,center
88000,3819,1920,1144,2006,center
92000,3882,1954,1146,1988,center
96000,3916,1960,1177,1984,center
100000,3918,1928,1149,2015,center
104000,3866,1935,1176,2024,center
108000,3890,1962,1172,2026,center
112000,3915,1952,1134,2070,center
116000,3931,1948,1183,2110,center
120000,3878,1953,1246,2120,center
124000,3915,1964,1214,2132,center
128000,3926,1949,1206,2138,center
132000,3830,1946,1226,2170,center
136000,3891,1942,1230,2164,center
140000,3906,1944,1172,2160,center
144000,3950,1919,1210,2150,center
148000,3808,1946,1217,2158,center
152000,3892,1946,1227,2155,center
156000,3920,1950,1213,2126,center
160000,3800,1944,1211,2110,center
164000,3894,1946,1224,2110,center
168000,3898,1936,1162,2108,center
172000,3904,1840,1205,2106,center
176000,3844,1928,1211,2072,center
180000,3886,1938,1222,2116,center
184000,3910,1939,1254,2116,center
188000,3854,1918,1214,2107,center
192000,3880,1926,1225,2088,center
196000,3906,1934,1161,2069,center
200000,3916,1930,1208,2086,center
204000,3866,1922,1226,2080,center
208000,3890,1922,1225,2036,center
212000,3894,1930,1126,2048,center
216000,3886,1930,1212,2068,center
220000,3878,1939,1227,2070,center
224000,3908,1936,1214,2036,center
228000,3922,1920,1202,2034,center
232000,3914,1938,1212,2048,center
236000,3884,1938,1225,2044,center
240000,3908,1941,1227,2042,center
244000,3896,1932,1208,2027,center
248000,3888,1942,1226,2034,center
252000,3928,1937,1224,2038,center
256000,3906,1904,1200,2030,center
260000,3858,1924,1214,2011,center
264000,3899,1934,1224,2011,center
268000,3908,1936,1235,2020,center
272000,3930,1918,1213,1990,center
276000,3864,1917,1202,2000,center
280000,3900,1924,1170,1985,center
284000,3918,1900,1205,2000,center
288000,3861,1892,1203,1994,center
292000,3894,1928,1205,1932,center
296000,3912,1915,1152,1928,center
300000,3811,1923,1189,1922,center
304000,3880,1948,1179,1918,center
308000,3894,1924,1133,1899,center
312000,3842,1916,1171,1888,center
316000,3880,1926,1187,1893,center
320000,3898,1926,1147,1890,center
324000,3819,1923,1204,1860,center
