t_us,ch1,ch2,ch3,ch4,label
0,366,1592,770,1678,center
630127809,3426,1715,765,1684,center
630131809,3332,1771,759,1677,center
630135809,3414,1689,755,1671,center
630139809,3382,1586,729,1544,center
630143809,3402,1676,758,1697,center
630147809,3420,1768,755,1675,center
630151809,3376,1701,764,1672,center
630155809,3408,1565,775,1673,center
630159809,3403,1626,778,1680,center
630163809,3442,1740,773,1652,center
630167809,3426,1726,772,1665,center
630171809,3344,1603,759,1660,center
630175809,3436,1612,763,1673,center
630179809,3440,1752,756,1676,center
630183809,3464,1756,771,1656,center
630187809,3402,1630,770,1696,center
630191809,3371,1581,768,1672,center
630195809,3368,1718,768,1674,center
630199809,3466,1785,758,1664,center
630203809,3422,1643,744,1667,center
630207809,3387,1570,772,1706,center
630211809,3418,1678,778,1686,center
630215809,3370,1756,768,1665,center
630219809,3384,1670,768,1660,center
630223809,3396,1579,773,1660,center
630227809,3406,1654,763,1666,center
630231809,3442,1751,769,1656,center
630235809,3414,1708,772,1666,center
630239809,3236,1594,759,1664,center
630243809,3318,1632,766,1673,center
630247809,3444,1770,719,1664,center
630251809,3444,1731,798,1668,center
630255809,3398,1612,768,1648,center
630259809,3352,1600,780,1669,center
630263809,3382,1716,768,1665,center
630267809,3454,1768,766,1665,center
630271809,3408,1630,705,1656,center
630275809,3384,1574,775,1686,center
630279809,3414,1701,773,1670,center
630283809,3354,1760,764,1663,center
630287809,3374,1645,771,1663,center
630291809,3408,1577,719,1663,center
630295809,3426,1675,749,1659,center
630299809,3438,1752,767,1678,center
630303809,3392,1680,772,1662,center
630307809,3282,1586,772,1667,center
630311809,3411,1602,762,1675,center
630315809,3456,1748,764,1668,center
630319809,3442,1718,786,1678,center
630323809,3388,1601,772,1662,center
630327809,3341,1621,773,1670,center
630331809,3394,1762,756,1667,center
630335809,3463,1778,764,1667,center
630339809,3404,1626,767,1658,center
630343809,3372,1592,765,1618,center
630347809,3410,1725,775,1670,center
630351809,3410,1765,768,1675,center
630355809,3431,1630,764,1671,center
630359809,3398,1580,721,1676,center
630363809,3420,1696,768,1696,center
630367809,3440,1764,762,1696,center
630371809,3334,1664,772,1670,center
630375809,3344,1598,762,1666,center
630379809,3424,1672,764,1686,center
630383809,3451,1760,737,1678,center
630387809,3430,1702,774,1653,center
630391809,3368,1600,766,1670,center
630395809,3377,1634,760,1672,center
630399809,3494,1706,766,1676,center
630403809,3458,1694,774,1666,center
630407809,3398,1605,793,1662,center
630411809,3370,1600,775,1674,center
630415809,3424,1723,772,1669,center
630419809,3450,1752,767,1661,center
630423809,3422,1650,759,1661,center
630427809,3386,1578,770,1660,center
630431809,3428,1714,767,1678,center
630435809,3426,1770,768,1662,center
630439809,3408,1642,763,1664,center
630443809,3402,1556,762,1673,center
630447809,3436,1699,709,1674,center
630451809,3462,1770,780,1690,center
630455809,3408,1678,766,1643,center
630459809,3331,1586,766,1665,center
630463809,3312,1646,768,1675,center
630467809,3474,1772,764,1671,center
630471809,3434,1707,743,1664,center
630475809,3380,1578,772,1678,center
630479809,3378,1608,770,1664,center
630483809,3442,1722,769,1666,center
630487809,3458,1709,770,1661,center
630491809,3402,1616,732,1662,center
630495809,3374,1577,760,1676,center
630499809,3410,1707,769,1666,center
630503809,3348,1748,768,1666,center
630507809,3438,1658,764,1662,center
630511809,3396,1548,763,1660,center
630515809,3437,1698,793,1663,center
630519809,3440,1766,770,1672,center
630523809,3402,1652,765,1658,center
630527809,3323,1571,768,1658,center
630531809,3444,1693,768,1668,center
630535809,3464,1750,769,1662,center
630539809,3432,1680,798,1645,center
630543809,3375,1581,775,1692,center
630547809,3336,1626,760,1664,center
630551809,3484,1762,757,1660,center
630555809,3454,1688,769,1662,center
630559809,3386,1596,772,1664,center
630563809,3390,1604,773,1650,center
630567809,3418,1731,770,1672,center
630571809,3390,1728,766,1661,center
630575809,3449,1588,761,1658,center
630579809,3395,1566,765,1668,center
630583809,3446,1700,795,1682,center
630587809,3440,1744,770,1665,center
630591809,3374,1632,762,1650,center
630595809,3405,1563,766,1651,center
630599809,3426,1712,762,1668,center
630603809,3466,1756,729,1670,center
630607809,3406,1665,770,1674,center
630611809,3370,1578,766,1659,center
630615809,3374,1662,772,1672,center
630619809,3398,1761,758,1657,center
630623809,3446,1680,768,1658,center
630627809,3384,1590,731,1664,center
630631809,3378,1625,770,1608,center
630635809,3424,1746,768,1664,center
630639809,3362,1729,780,1662,center
630643809,3410,1632,758,1623,center
630647809,3402,1600,771,1667,center
630651809,3426,1712,772,1641,center
630655809,3432,1747,774,1658,center
630659809,3328,1632,764,1654,center
630663809,3340,1561,762,1666,center
630667809,3422,1714,714,1670,center
630671809,3446,1763,784,1666,center
630675809,3411,1672,768,1682,center
630679809,3376,1566,766,1666,center
630683809,3407,1683,768,1669,center
630687809,3464,1724,768,1664,center
630691809,3424,1673,772,1650,center
630695809,3378,1578,771,1648,center
630699809,3398,1653,767,1592,center
630703809,3426,1750,768,1675,center
630707809,3393,1711,758,1667,center
630711809,3408,1568,758,1663,center
630715809,3408,1624,776,1672,center
630719809,3426,1732,776,1687,center
630723809,3428,1728,768,1696,center
630727809,3320,1611,767,1656,center
630731809,3376,1578,768,1670,center
630735809,3448,1688,756,1663,center
630739809,3450,1722,739,1668,center
630743809,3388,1617,768,1596,center
630747809,3362,1553,773,1648,center
630751809,3321,1684,743,1667,center
630755809,3456,1768,764,1656,center
630759809,3420,1640,769,1652,center
630763809,3374,1562,767,1625,center
630767809,3402,1662,768,1650,center
630771809,3436,1747,766,1654,center
630775809,3390,1681,755,1645,center
630779809,3396,1551,756,1662,center
630783809,3400,1616,728,1662,center
630787809,3444,1733,766,1682,center
630791809,3430,1716,773,1629,center
630795809,3386,1594,770,1650,center
630799809,3419,1626,766,1656,center
630803809,3440,1747,748,1664,center
630807809,3442,1740,761,1679,center
630811809,3384,1622,771,1676,center
630815809,3318,1580,751,1667,center
630819809,3344,1702,762,1674,center
630823809,3466,1743,762,1672,center
630827809,3424,1650,768,1671,center
630831809,3376,1581,772,1654,center
630835809,3408,1696,779,1674,center
630839809,3472,1771,772,1668,center
630843809,3338,1696,763,1662,center
630847809,3394,1544,768,1670,center
630851809,3416,1664,754,1657,center
630855809,3442,1748,772,1682,center
630859809,3417,1707,774,1660,center
630863809,3293,1574,771,1665,center
630867809,3402,1628,758,1666,center
630871809,3448,1726,782,1668,center
630875809,3436,1720,774,1630,center
630879809,3384,1588,778,1656,center
630883809,3382,1595,772,1670,center
630887809,3387,1712,769,1664,center
630891809,3457,1762,789,1659,center
630895809,3402,1618,768,1646,center
630899809,3380,1579,774,1623,center
630903809,3417,1709,778,1649,center
630907809,3439,1760,820,1657,center
630911809,3438,1620,764,1653,center
630915809,3396,1564,719,1652,center
630919809,3430,1678,732,1675,center
630923809,3450,1751,778,1670,center
630927809,3410,1672,777,1652,center
630931809,3380,1576,771,1652,center
630935809,3416,1622,758,1663,center
630939809,3450,1741,777,1662,center
630943809,3418,1712,774,1638,center
630947809,3366,1588,768,1650,center
630951809,3308,1604,714,1660,center
630955809,3456,1702,766,1663,center
630959809,3459,1707,766,1663,center
630963809,3404,1615,782,1678,center
630967809,3368,1584,775,1650,center
630971809,3411,1686,768,1661,center
630975809,3430,1750,765,1656,center
630979809,3427,1665,756,1654,center
630983809,3388,1570,790,1709,center
630987809,3413,1699,771,1635,center
630991809,3427,1754,767,1662,center
630995809,3380,1657,776,1656,center
630999809,3346,1565,758,1654,center
631003809,3424,1660,717,1660,center
631007809,3427,1746,775,1680,center
631011809,3418,1688,767,1619,center
631015809,3360,1578,762,1652,center
631019809,3334,1626,766,1658,center
631023809,3450,1760,762,1663,center
631027809,3438,1722,773,1655,center
631031809,3386,1600,773,1668,center
631035809,3376,1596,773,1658,center
631039809,3373,1712,760,1658,center
631043809,3394,1763,759,1650,center
631047809,3419,1632,670,1649,center
631051809,3402,1592,785,1660,center
631055809,3430,1717,768,1636,center
631059809,3444,1766,769,1656,center
631063809,3362,1638,764,1664,center
631067809,3392,1606,763,1660,center
631071809,3426,1690,700,1668,center
631075809,3462,1790,777,1681,center
631079809,3406,1667,771,1712,center
631083809,3346,1580,782,1660,center
631087809,3223,1650,761,1666,center
631091809,3460,1776,759,1666,center
631095809,3430,1702,758,1656,center
631099809,3388,1589,769,1675,center
631103809,3378,1630,773,1658,center
631107809,3398,1737,766,1668,center
631111809,3439,1734,766,1660,center
631115809,3408,1575,754,1657,center
631119809,3382,1602,785,1664,center
631123809,3426,1728,770,1667,center
631127809,3438,1760,770,1664,center
631131809,3368,1636,764,1664,center
631135809,3382,1605,764,1670,center
631139809,3442,1731,768,1669,center
631143809,3468,1769,730,1668,center
631147809,3416,1656,770,1668,center
631151809,3382,1589,764,1659,center
631155809,3343,1685,763,1656,center
631159809,3466,1748,763,1658,center
631163809,3422,1713,769,1656,center
631167809,3390,1596,770,1663,center
631171809,3408,1646,775,1656,center
631175809,3438,1758,772,1670,center
631179809,3396,1714,768,1660,center
631183809,3414,1621,770,1658,center
631187809,3404,1611,767,1665,center
631191809,3445,1736,774,1648,center
631195809,3452,1743,768,1678,center
631199809,3398,1626,766,1653,center
631203809,3426,1592,775,1665,center
631207809,3440,1703,762,1661,center
631211809,3440,1758,721,1657,center
631215809,3398,1646,772,1664,center
631219809,3365,1576,770,1664,center
631223809,3347,1702,780,1662,center
631227809,3458,1771,742,1661,center
631231809,3410,1658,674,1658,center
631235809,3388,1580,772,1674,center
631239809,3408,1670,764,1668,center
631243809,3466,1757,771,1665,center
