t_us,ch1,ch2,ch3,ch4,pc_time,label
366068164,1363,790,975,1183,1770289237.0784562,center
366072162,1341,839,1025,1198,1770289237.0785558,center
366076162,1405,917,1127,1294,1770289237.0786428,center
366080163,1442,905,1126,1310,1770289237.078728,center
366084163,1353,783,967,1177,1770289237.0788102,center
366088164,1338,841,1028,1197,1770289237.078979,center
366092162,1395,907,1118,1283,1770289237.079076,center
366096162,1452,916,1131,1318,1770289237.0791628,center
366100163,1372,792,978,1193,1770289237.079372,center
366104163,1349,838,1026,1196,1770289237.079464,center
366108164,1385,892,1107,1271,1770289237.07955,center
366112162,1459,923,1139,1325,1770289237.080435,center
366116162,1405,818,1015,1221,1770289237.0844412,center
366120163,1363,829,1015,1197,1770289237.08851,center
366124164,1380,880,1091,1251,1770289237.0925,center
366128162,1448,926,1140,1320,1770289237.096498,center
366132162,1420,843,1050,1244,1770289237.100598,center
366136162,1367,817,1007,1196,1770289237.104749,center
366140163,1367,860,1064,1224,1770289237.108563,center
366144164,1435,926,1139,1311,1770289237.112523,center
366148162,1424,864,1082,1271,1770289237.1164758,center
366152162,1365,804,990,1193,1770289237.120476,center
366156162,1353,848,1049,1212,1770289237.124537,center
366160164,1432,932,1147,1314,1770289237.1285279,center
366164164,1442,879,1100,1293,1770289237.132542,center
366168162,1362,794,977,1189,1770289237.136462,center
366172162,1348,842,1030,1203,1770289237.140596,center
366176163,1412,922,1135,1299,1770289237.1445708,center
366180164,1446,899,1120,1309,1770289237.148532,center
366184164,1362,788,975,1185,1770289237.152504,center
366188162,1342,837,1027,1198,1770289237.1565409,center
366192162,1401,910,1116,1284,1770289237.1605492,center
366196163,1446,910,1130,1318,1770289237.164596,center
366200164,1360,783,965,1178,1770289237.168489,center
366204164,1345,842,1030,1200,1770289237.172608,center
366208162,1391,899,1113,1277,1770289237.1765609,center
366212162,1460,921,1141,1324,1770289237.180618,center
366216163,1393,809,999,1214,1770289237.184468,center
366220164,1358,832,1022,1197,1770289237.188631,center
366224164,1381,883,1096,1255,1770289237.192579,center
366228162,1449,925,1140,1318,1770289237.196689,center
366232162,1410,833,1035,1230,1770289237.2006578,center
366236163,1360,822,1013,1201,1770289237.204649,center
366240164,1371,867,1072,1239,1770289237.20864,center
366244162,1450,930,1146,1322,1770289237.2126741,center
366248162,1429,854,1067,1256,1770289237.216649,center
366252162,1368,807,995,1196,1770289237.2205062,center
366256163,1361,853,1056,1218,1770289237.224614,center
366260164,1439,934,1149,1317,1770289237.228694,center
366264164,1437,870,1089,1281,1770289237.232814,center
366268162,1357,797,984,1185,1770289237.236625,center
366272162,1344,844,1039,1199,1770289237.240811,center
